fid,lineabbr,linename,frequency,routetype,city,avgbrd,county,lineabbr1,shape__len,st_length_shape_
53,704,GREEN LINE,15,Green Line,"Salt Lake City, South Salt Lake, West Valley City",12726,Salt Lake,704,0.258821810000000,
9,39,3900 SOUTH,30,Regular,"Taylorsville, Millcreek, South Salt Lake, Holladay, West Valley City",1906,Salt Lake,39,0.205428260000000,
12,54,5400 SOUTH,30,Regular,"Taylorsville, Murray, West Jordan, West Valley City",1112,Salt Lake,54,0.188365470000000,
64,834,VINEYARD/RIVERWOODS/ PROVO STATION,30,Regular,"Orem, Vineyard, Provo",512,Utah,834,0.229546550000000,
65,850,STATE STREET,15,Frequent,"Lindon, Orem, Pleasant Grove, Lehi, American Fork, Provo",2790,Utah,850,0.396839370000000,
67,871,TECH CORRIDOR RAIL CONNECTOR,60,Regular,"Bluffdale, Draper, Lehi",115,Utah,871,0.332706960000000,
70,994,90TH SO TRAX/SNWBRD/ALTA,30,Ski,"Alta, Sandy",16,Salt Lake,994,0.288698920000000,
66,862,OREM EAST/WEST,30,Regular,"Orem, LIndon",624,Utah,862,0.261073790000000,
13,62,6200 SOUTH,60,Regular,"Taylorsville, Murray, West Jordan, West Valley City",210,Salt Lake,62,0.193691200000000,
33,551,INTERNATIONAL CENTER,30 peak,Limited,Salt Lake City,195,Salt Lake,551,0.253428940000000,
14,72,7200 SOUTH,30,Regular,"Midvale, Cottonwood Heights",481,Salt Lake,72,0.110643290000000,
30,473,SLC - OGDEN HWY 89 EXPRESS,30 peak,Limited,"S Ogden, SLC, Woods Cross, S Weber, Farmington, North SL, Uintah, Centerville, Layton, Fruit Heights, Bountiful, Kaysville, Ogden, W Bountiful",222,"Davis, Salt Lake, Weber",473,1.177504270000000,
38,606,ENABLE INDUTRIES,1 trip,Limited,"West Haven, Ogden",,Weber,606,0.119370140000000,
74,F453,TOOELE SLC FLEX,60,Regular,"Salt Lake City, Tooele, Erda, Lake Point",45,"Salt Lake, Tooele",0,0.995954360000000,
28,455,U OF U / DAVIS COUNTY / WSU,30,Regular,"S Ogden, SLC, S Weber, Farmington, North SL, Uintah, Centerville, Layton, Fruit Heights, Bountiful, Kaysville, Ogden",1348,"Davis, Salt Lake, Weber",455,0.934279600000000,
29,470,OGDEN - SALT LAKE INTERCITY,30,Regular,"S Ogden, Riverdale, SLC, Roy, Farmington, Clearfield, North SL, Centerville, Layton, Sunset, Bountiful, Kaysville, Ogden",2673,"Davis, Salt Lake, Weber",470,0.775176040000000,
34,601,OGDEN TROLLEY,20,Regular,Ogden,107,Weber,601,0.033885430000000,
61,830X,UTAH VALLEY EXPRESS,6,BRT,"Orem, Provo",6027,Utah,0,0.265129920000000,
26,248,4800 WEST,60,Regular,"West Jordan, West Valley City",225,Salt Lake,248,0.255269000000000,
57,806,EAGLE MTN/SARATOGA SPR/LEHI STN/UVU,30 peak,Limited,"Lindon, Orem, Pleasant Grove, Lehi, Eagle Mountain, American Fork, Saratoga Springs",70,Utah,806,0.741780760000000,
81,F618,OGDEN BDO FLEX,30,Regular,Ogden,81,Weber,0,0.185045620000000,
15,200,STATE STREET NORTH,15,Frequent,"Salt Lake City, Murray, Millcreek, South Salt Lake",2883,Salt Lake,200,0.182497230000000,
84,F94,9400 SOUTH FLEX,15-30,Regular,Sandy,272,Salt Lake,0,0.161355610000000,
85,472,RIVERDALE - SALT LAKE EXPRESS,30 peak,Limited,"S Ogden, Riverdale, SLC, Woods Cross, S Weber, Farmington, Roy, Clearfield, North SL, Centerville, Uintah, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden, W Bountiful",107,"Davis, Salt Lake, Weber",472,1.401006360000000,
5,17,1700 SOUTH,60,Regular,"Salt Lake City, South Salt Lake",197,Salt Lake,17,0.158063220000000,
6,21,2100 SOUTH / 2100 EAST,15,Frequent,"South Salt Lake, Salt Lake City",2034,Salt Lake,21,0.153442590000000,
20,217,REDWOOD ROAD,15,Frequent,"Salt Lake City, Taylorsville, West Jordan, West Valley City",3748,Salt Lake,217,0.194359530000000,
21,218,SOUTH JORDAN,60,Regular,"West Jordan, South Jordan",268,Salt Lake,218,0.143299050000000,
51,701,BLUE LINE,15,Blue Line,"Midvale, Salt Lake City, Murray, Millcreek, Sandy, South Salt Lake, Draper",11996,Salt Lake,701,0.290254560000000,
56,805,SANTAQUIN/PAYSON/SF/PROVO STN/UVU,30 peak,Limited,"Springville, Orem, Spanish Fork, Payson, Santaquin, Provo",101,Utah,805,0.883548150000000,
31,509,900 W SHUTTLE,30,Regular,"Salt Lake City, West Valley City",992,Salt Lake,509,0.267580430000000,
40,613,WEBER INDUSTRIAL PARK,60,Regular,"Marriott-Slaterville, Farr West, Ogden, Pleasant View",175,Weber,613,0.173924940000000,
87,603X,OGDEN EXPRESS (OGX),10,BRT,Ogden,3422,Weber,630,,
42,626,WEST ROY /  CLFD STAT,20-60,Regular,"Roy, West Point, Clearfield, Clinton, Layton, Syracuse",182,"Davis, Weber",626,0.164368550000000,
46,640,LAYTON HILLS MALL / WSU OGDEN CAMP,30,Regular,"South Ogden, Riverdale, Roy, Clearfield, Clinton, Layton, Sunset, Ogden",667,"Davis, Weber",640,0.349831610000000,
44,628,MIDTOWN TROLLEY,30,Regular,"Clearfield, Layton",534,Davis,628,0.137853840000000,
88,602,OGX WILDCAT SHUTTLE,10,BRT,Ogden,370,Weber,602,,
7,33,3300 SOUTH,15,Frequent,"South Salt Lake, Millcreek",1651,Salt Lake,33,0.131278850000000,
89,750,FRONTRUNNER,30,FrontRunner,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,",14217,"Davis, Salt Lake, Utah, Weber",750,,
41,625,ATC / HARRISON BLVD / WSU,60,Regular,"South Ogden, Ogden, Harrisville",251,Weber,625,0.229674220000000,
37,604,WEST OGDEN,60,Regular,"Roy, West Haven, Ogden",318,Weber,604,0.299759640000000,
39,612,WASHINGTON BLVD,15-30,Frequent,"South Ogden, Washington Terrace, Harrisville, Ogden, North Ogden",1997,Weber,612,0.547470200000000,
73,F232,3200 WEST FLEX,30,Regular,"Taylorsville, West Jordan, West Valley City",264,Salt Lake,0,0.116158920000000,
24,227,2700 WEST,60,Regular,"Taylorsville, West Jordan, West Valley City",142,Salt Lake,227,0.100518010000000,
47,645,MONROE BLVD,60,Regular,"Harrisville, Ogden",181,Weber,645,0.351470440000000,
63,833,AIRPORT/PROVO STATION,60,Regular,Provo,76,Utah,833,0.107973760000000,
27,451,TOOELE FAST BUS,30 peak,Limited,"Salt Lake City, Tooele, Erda, Lake Point",159,"Salt Lake, Tooele",451,1.072260140000000,
82,F620,WEST HAVEN FLEX,30,Regular,"Roy, West Haven, Ogden",70,Weber,0,0.169323980000000,
83,F638,THE BRIGHAM CITY Flex,60,Regular,"Brigham City, Perry",11,Box Elder,0,0.121580380000000,
